id;nombre;apellidos;email;telefono;dni;antiguedad;salario;comision
1;Gerente parsing;sensor Guantes;JulioCsar71@gmail.com;44189;online Práctico ADP;2022-09-20T23:55:13;99466;90481
2;Mali Account generate;Gold;Gonzalo31@gmail.com;20101;reinvent;2022-09-20T16:50:16;17219;60315
3;Metal;discreta cross-media Mascotas;Ins_Esquivel@hotmail.com;11628;Investment quantifying;2022-09-21T03:30:36;54277;90584
4;Grupo;markets program;Mara57@yahoo.com;62753;orientado Berkshire;2022-09-21T09:44:41;81591;82059
5;navigate estructura cohesiva;connect;MaraElena97@hotmail.com;3356;Papelería Intercambiable solid;2022-09-21T09:59:37;99851;32007
6;optical benchmark;Rambla;Emilia_Carrasco@yahoo.com;783;generating Hormigon Cuesta;2022-09-20T19:06:31;1524;12920
7;card Plástico;Papelería Leona;Victoria73@hotmail.com;90376;Baleares 24;2022-09-21T01:48:09;74633;17100
8;focus Diverso payment;Loan syndicate;Francisca_Leyva@gmail.com;47631;AGP;2022-09-21T02:03:54;11826;86230
9;niches Global;Comunidad Mascotas override;Clemente.Escobar@yahoo.com;61270;SSL Directo de;2022-09-20T19:00:00;55319;40627
10;Senda;program;Agustn_Alonzo71@hotmail.com;42615;valor deposit;2022-09-21T09:39:14;72828;74681
